nombre,nombre_corto,rol,dialogo,num_debate
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira Gaby, son 3 millones de personas las que tenían la posibilidad de accesar  al Seguro Social y lo que estamos planteando es muy sencillo, que la seguridad social sea para los patrones deducible y que eso permita que incorporen a las trabajadoras del hogar a la seguridad social.",3
CARLOS PUIG,NA,Moderador,"Pero no es estructural, no es de un sistema económico… ",3
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Me divierto con ustedes, ‘hora  dale un beso, dale pues, dale un beso. México necesita de la unidad de todos, no de los pleitos, los tres tienen ese mismo problema, se pelean entre ellos y no dan soluciones.",3
JOSÉ ANTONIO MEADE,Meade,Candidato,"En español, y para ser muy, muy claro, cancelar la Reforma Educativa implica cancelar el futuro de tus hijos, implica echar por la borda la posibilidad de que aprendan inglés, implica echar por la borda la tecnología y que  los maestros, estoy absolutamente de su lado, les voy a pegar mejor, van a tener absoluta certeza laboral junto con Nueva Alianza vamos a hacer un equipo pero por favor, por sus hijos no lo pongan cerca de la educación.",3
RICARDO ANAYA,Anaya,Candidato,"No tiene pila, se lo enseñe al doctor Curzio antes de que empezara el debate para que estuviera claro. Tener un aparato como estos hoy ya no es un lujo, es una necesidad, un aparato como estos le sirve a un campesino para revisar los precios de su cosecha y evitar abusos del intermediario, a una persona que tiene diabetes para poder mandar a su médico sus niveles de azúcar sin tener que trasladarse al centro de salud o al hospital, a un joven que vive en una comunidad rural alejada poder tomar un curso en línea, aprender otro idioma. Hay 30% de la población mexicana que aún no tiene acceso a estas tecnologías, la desigualdad de siglo XXI en buena medida va a ser la desigualdad digital y tecnológica. Yo me comprometo a que en mi sexenio todos los mexicanos estarán incluidos, todos contarán con una dispositivo, tableta o celular justamente para poderse insertar de lleno en .",3
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Pues teniendo el dinero, lo tenemos, el dinero existe en el Gobierno, mal usado obviamente, el asistencialismo se lleva 1.5 billones de pesos, pues de ahí vamos a tomar para esto. Tecnología para la seguridad, tecnología para vender, tecnología para educar, tecnología para gobernar, eso es algo que sé hacer, yo soy un adicto a la tecnología y no se requiere mucho dinero para eso. Tenemos que tener un Gobierno tecnológico y eso quitará muchos burócratas que no son necesarios en el Gobierno, tenemos que potencializar, solamente el programa  tiene 916 millones en el presupuesto, hay que duplicarlo, duplicarlo y no se necesita cobrar más impuestos para eso. Tengo la fórmula, ya lo hicimos en Nuevo León y lo podemos hacer en el país.",3
LEONARDO CURZIO,NA,Moderador,"Candidato Meade, habla usted también usted de un piso mínimo y una política social personalizada, digamos ubicada, me recuerda un poco por lo que hicieron en  cuando hablas de eso ¿hay capacidad para gestionar eso en un país de ciento y pico de millones?",3
CARLOS PUIG,NA,Moderador,"Muchas gracias, Candidato, se tomó su tiempo, ¿queda alguna réplica? De hecho usted ya no tiene réplicas candidato Rodríguez. ",3
LEONARDO CURZIO,NA,Moderador,"Bueno que pues vamos en este segmento hablar de otro tema de compromisos planetarios, en estos asuntos fíjense, el planeta es nuestra patria y por supuesto todos recordamos que tenemos un país mega diverso, de hecho este espléndido museo en donde estamos transmitiendo nos recuerda que el mundo Maya se colapsó, la civilización maya ante una crisis ecológica y hoy tenemos el mismo riesgo déjenme empezar efectivamente recordando que el capital natural de este país es enorme, pero la diversidad no sólo implica especies, implica también cultura, de hecho aprende una frase en otomí que es  que es mi pueblo se está muriendo, efectivamente hay más de 7 millones de compatriotas que hablan una lengua, una lengua vernácula, una lengua autóctona, y empezaría preguntándole a usted candidato Rodríguez Calderón, las comunidades indígenas viven en zonas de gran valor ambiental, ¿qué plan tiene usted para garantizar que se preserve la diversidad cultural y al mismo tiempo conservemos el medio ambiente? ¿Cómo planea por ejemplo parar la deforestación?",3
