nombre,nombre_corto,rol,dialogo
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, sí, lo sostengo o sea, ni es seguro, ni es popular, porque en los centros de salud vamos a mejorar el sistema de salud pública, en los centros..."
CARLOS PUIG,NA,Moderador,"O sea, va a seguir existiendo el Seguro Popular, quien no esté afiliado al Seguro Popular que le va a pasar."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Claro, claro."
CARLOS PUIG,NA,Moderador,Si usted gana que le va a pasar el primero de diciembre.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, va a tener el mejor servicio, lo que pasa ahora es una simulación, dicen cómo se atiende el 50% de la población en el Seguro Popular, en los centros de salud yo recorro todo el país, no hay medicamentos, se roban el dinero de los medicamentos."
CARLOS PUIG,NA,Moderador,Es cierto eso.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Entonces con el mismo presupuesto como una caja para la diabetes, una caja de pastillas para la diabetes que cuesta en laboratorio, cuando mucho 15 pesos, la compra el gobierno en 150 pesos."
CARLOS PUIG,NA,Moderador,"Pero el doctor Alcocer dice que necesita un punto más, no soy yo el que se lo digo, el doctor Alcocer evidentemente no está de acuerdo con lo que usted dice y para esto necesita 200 millones de pesos…"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Y yo no descartó esa posibilidad, porque hace falta la atención a la salud y lo vamos a lograr, nada más que es un proceso, primero vamos a ordenar. Mira, otro tema que tiene que ver con la corrupción, recorro el país, ya hice un inventario, ahí 35 hospitales abandonados."
CARLOS PUIG,NA,Moderador,¿Que no tienen?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Se invirtió, mejor dicho se gastó porque no fue inversión fue un gasto, por la corrupción. Te voy a dar un ejemplo, claro, yo fui Jefe de Gobierno de la Ciudad, construí un hospital, el hospital Belisario Domínguez en Iztapalapa, costó 350 millones de pesos, 150 camas, 350 millones de pesos 150 camas; en Zumpango, Estado de México, construyeron un hospital de 150 camas cobraron 7 mil millones de pesos, estoy hablando de 20 veces más, ¿quién construyó ese hospital?"
CARLOS PUIG,NA,Moderador,"Se acabó su tiempo, ahora tendrá tiempo para réplica porque seguro tendremos réplicas, ¿no tenemos réplicas en este tema?"
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Creo que hay solución para el tema de hacer inversiones importantes pero también podemos involucrar a los hospitales privados que tienen una cobertura amplia y una enorme tecnología, una enorme capacidad y aquí podemos inclusive atender a todo mundo, es importante que todo mundo sea atendido pero no solamente en el tema de salud pública, de infraestructura pública, también privada la podemos involucrar."
CARLOS PUIG,NA,Moderador,"Gracias, candidato Rodríguez Calderón. Candidato Meade."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira, yo iba a usar la réplica para decirles que mientras les quiere quitar el Seguro Popular se trae a su doctor de Miami para que lo revise cada 15 días pero voy a usar nada más para hacerle cuentas porque solo hay que aprender a contar hasta cinco . El presupuesto tiene 5 millones de millones de pesos, 1.5 se lo damos a los estados y municipios en aportaciones, 1.5 costo financiero a deuda y pensiones, uno IMSS, ISSSTE, Seguro Social y Pemex, uno Gobierno federal, no hay manera, no le salen las cuentas."
CARLOS PUIG,NA,Moderador,"Gracias, candidato Meade, ¿alguna otra réplica? Candidato Anaya, por favor."
