nombre,nombre_corto,rol,dialogo
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Amigas, amigos, mexicanas, mexicanos estamos a unos días, 18 días de una elección histórica, vamos a hacer historia, vamos a transformar al país, ha habido cuatro, tres transformaciones en la historia del país y vamos nosotros a llevar a cabo la cuarta transformación, vamos a hacerlo para sacar a nuestro querido México del atraso en que se encuentra en el atolladero, que lo han metido los políticos corruptos sobre todo los de la mafia del poder, los del PRIAN, les invita a participar en esta elección que vamos a llevar a cabo todos los mexicanos, vamos a hacer historia, no tengamos miedo, vamos a construir una auténtica democracia, y con mucho entusiasmo. Vamos a gritar el primero de julio “Viva México”."
CARLOS PUIG,NA,Moderador,"Gracias candidato López Obrador, toca el turno, un minuto candidato Rodríguez Calderón."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Dicen las encuestas que el 86% de los mexicanos cree que Alemania va a ganar la Copa del Mundo, el juego contra México. Entonces para qué fregado mandamos a la selección, quién estaría de acuerdo en darle la copa Alemania sin jugar, dice las encuestas que el 39% de los mexicanos cree que Andrés Manuel va a ganar. Pues de una vez vamos a ponerle la banda presidencial ahorita y nos ahorramos la elección. Miles de millones de pesos nos ahorraríamos con ese caso, el Mundial no se ha jugado hoy, ni tampoco hoy la elección, por eso los tres son lo mismo, los tres los han visto hoy mismo, son quienes les han chupado la sangre de su dinero todo el tiempo, vota Bronco, vota independiente. Atrévete, quítate la pata del pescuezo. Atrévete a ser valiente y decir que ya jubilemos a estos tres personajes que se vayan a su casa, pero sin pensión, que eviten estarse peleando, los tres están denunciados, los tres pueden ir a la cárcel, los tres han engañado a la sociedad, los tres no son lo que dicen. Así que gracias vota por el Bronco."
CARLOS PUIG,NA,Moderador,"Tiempo candidato Rodríguez Calderón, un minuto el candidato José Antonio Meade. Adelante."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Hemos decidido de nuestros pares un país de oportunidades y de retos, tenemos la obligación de trabajar para que nuestros hijos reciban de nosotros un país mejor, yo te garantizo que México va a crecer, que vamos a acabar con la pobreza de los niños, que le vamos a dar mejores oportunidades a las mujeres, que se les va a generar más empleo y que va a estar mejor pagado, en pocas palabras que ustedes progresen, que vivan más seguros y que vivan mejor, en un día van a votar por seis años, hay que reflexionar nuestro voto, yo les pido su voto de confianza para ser su presidente, para trabajar en equipo con sus familias y para garantizar el futuro de sus hijos, les pido su voto conmigo a ti te va a ir muy bien. Vamos a ganar. ¡Qué viva México!"
CARLOS PUIG,NA,Moderador,"Gracias candidato Meade, candidato Anaya un minuto de cierre."
RICARDO ANAYA,Anaya,Candidato,"Faltan sólo 19 días para la elección, de que México va a cambiar no hay duda, mucho más de la mitad del país ya no quiere saber del PRI, y la gran mayoría tampoco quiere saber nada de López Obrador, no se trata de votar por lo que nos divide, sino de votar por lo que nos une como mexicanos. Yo quiero un México en el que el gobierno se conduzca con honestidad. Quiero un México con gobernantes a la altura de la mamá y de papá que se quitan el pan de la boca para dárselo a sus hijos. Yo quiero un México en paz y quiero que juntos a golpes de esfuerzo y de amor por la patria lo hagamos realidad, si tú quieres ese mismo México te invito a que salgas a votar, a que votes con todas tus fuerzas, lo vamos a lograr. Transformemos el enojo en esperanza y la esperanza en felicidad, vamos a ganar."
CARLOS PUIG,NA,Moderador,"Gracias, candidato Ricardo Anaya. Con estas cuatro intervenciones finales llega a su fin este el tercer debate presidencial, muchísimas gracias a los cuatro candidatos presidenciales por aceptar la invitación a participar en estos tres debates que contribuirán no me queda duda a la ciudadanía acuda a las urnas el 1 de julio de manera informada. Hemos conocido el pensamiento, las propuestas de gobierno y sí, el humor de los cuatro candidatos en su desempeño durante los debates, estos ejercicios marcan ya un antes y un después. Enhorabuena pues para la democracia y la cultura del debate respetuoso de ideas, gracias de nueva cuenta al Gran Museo del Mundo Maya, gracias a la extraordinaria ciudad de Mérida, al ITESO y a la Universidad Veracruzana, y a todos ustedes que nos acompañaron en uno, en dos, o los tres debates presidenciales. Muchísimas gracias, ha sido mi privilegio estar aquí con Gabriela Warkentin, gracias, Gaby."
GABRIELA WARKENTIN,NA,Moderador,"Gracias, Carlos."
CARLOS PUIG,NA,Moderador,"Y con Leonardo Curzio. Gracias, Leonardo."
LEONARDO CURZIO,NA,Moderador,"Gracias Carlos, candidatos."
CARLOS PUIG,NA,Moderador,"Ahora el Instituto Electoral los invita a que este 1 de julio todos acudamos a las urnas y votemos en libertad. Hasta pronto, muy buenas noches."
